speciesType	tissueType	cellName	geneSymbol	ensemblID
Homo_sapiens	adipose tissue(UBERON_0001013)	Adipose multilineage-differentiating stress-enduring cell(CL_0000034)	ENG,THY1	ENSG00000106991,ENSG00000154096
Homo_sapiens	adipose tissue(UBERON_0001013)	Adipose progenitor cell(None)	ITGB1,DLK1	ENSG00000150093,ENSG00000185559
Homo_sapiens	adipose tissue(UBERON_0001013)	Adipose-derived stem cell(CL_0000034)	PTPRC,SOX2,NANOG,ANPEP,POU5F1,CD9,THY1,TFRC,PECAM1,MYC,MCAM,MME,CD200,CDH5,ICAM1,CD59,ITGAL,ITGA4,KLF4,ITGA1,NGFR,NT5E,VCAM1,THBD,F3,ENG,NES,KIT,ITGAX,PDGFRB,CD34,ITGB1,CD55,CD14,CD44	ENSG00000081237,ENSG00000181449,ENSG00000111704,ENSG00000166825,ENSG00000204531,ENSG00000010278,ENSG00000154096,ENSG00000072274,ENSG00000261371,ENSG00000136997,ENSG00000076706,ENSG00000196549,ENSG00000091972,ENSG00000179776,ENSG00000090339,ENSG00000085063,ENSG00000005844,ENSG00000115232,ENSG00000136826,ENSG00000213949,ENSG00000064300,ENSG00000135318,ENSG00000162692,ENSG00000178726,ENSG00000117525,ENSG00000106991,ENSG00000132688,ENSG00000157404,ENSG00000140678,ENSG00000113721,ENSG00000174059,ENSG00000150093,ENSG00000196352,ENSG00000170458,ENSG00000026508
Homo_sapiens	adipose tissue(UBERON_0001013)	Adipose-derived stromal cell(CL_0000499)	PTPRC,ANPEP,NANOG,SOX2,POU5F1,THY1,ALCAM,TFRC,PECAM1,MYC,CD200,MME,CDH5,KLF4,NT5E,VCAM1,THBD,DLK1,F3,ENG,CD34,ITGB1,CD44	ENSG00000081237,ENSG00000166825,ENSG00000111704,ENSG00000181449,ENSG00000204531,ENSG00000154096,ENSG00000170017,ENSG00000072274,ENSG00000261371,ENSG00000136997,ENSG00000091972,ENSG00000196549,ENSG00000179776,ENSG00000136826,ENSG00000135318,ENSG00000162692,ENSG00000178726,ENSG00000185559,ENSG00000117525,ENSG00000106991,ENSG00000174059,ENSG00000150093,ENSG00000026508
Homo_sapiens	adipose tissue(UBERON_0001013)	Beige adipogenic precursor cell(None)	EBF2	ENSG00000221818
Homo_sapiens	adipose tissue(UBERON_0001013)	Brown adipogenic precursor cell(None)	EBF2	ENSG00000221818
Homo_sapiens	adipose tissue(UBERON_0001013)	Dedifferentiation adipocyte(CL_0000136)	PTPRC,VCAM1,CD34,ITGB1,CD44	ENSG00000081237,ENSG00000162692,ENSG00000174059,ENSG00000150093,ENSG00000026508
Homo_sapiens	adipose tissue(UBERON_0001013)	Endoderm progenitor cell(None)	PROM1,CD34,PECAM1	ENSG00000007062,ENSG00000174059,ENSG00000261371
Homo_sapiens	adipose tissue(UBERON_0001013)	Endothelial cell(CL_0000115)	PTPRC,VWF,MCAM,THBD,CD34,PROM1,ECSCR,ENG,PECAM1,ABCG2,NGFR	ENSG00000081237,ENSG00000110799,ENSG00000076706,ENSG00000178726,ENSG00000174059,ENSG00000007062,ENSG00000249751,ENSG00000106991,ENSG00000261371,ENSG00000118777,ENSG00000064300
Homo_sapiens	adipose tissue(UBERON_0001013)	Endothelial progenitor cell(CL_0002619)	CD34	ENSG00000174059
Homo_sapiens	adipose tissue(UBERON_0001013)	Fat cell (adipocyte)(CL_0000136)	CIDEA,LGALS12,LEP,ADIPOR1,SLC27A1,TNFRSF9,CLTCL1,UCP1,SLC27A6,PPARG,SLC27A4,DLK2,VSTM2B,PLIN2,ADIPOQ,DLK1,SLC27A5,SLC27A2,VSTM2A,BSCL2,ADIPOR2,PPARGC1A,FABP4,ZIC1,SLC2A4	ENSG00000176194,ENSG00000133317,ENSG00000174697,ENSG00000159346,ENSG00000130304,ENSG00000049249,ENSG00000070371,ENSG00000109424,ENSG00000113396,ENSG00000132170,ENSG00000167114,ENSG00000171462,ENSG00000187135,ENSG00000147872,ENSG00000181092,ENSG00000185559,ENSG00000083807,ENSG00000140284,ENSG00000170419,ENSG00000168000,ENSG00000006831,ENSG00000109819,ENSG00000170323,ENSG00000152977,ENSG00000181856
Homo_sapiens	adipose tissue(UBERON_0001013)	Immature endothelial cell(CL_0000115)	PECAM1,CD34	ENSG00000261371,ENSG00000174059
Homo_sapiens	adipose tissue(UBERON_0001013)	Macrophage(CL_0000235)	PTPRC,MRC1,CD68,FCGR2A,FCGR2B,FCGR2C,FCGR3A,CD14,FCGR3B	ENSG00000081237,ENSG00000260314,ENSG00000129226,ENSG00000143226,ENSG00000072694,ENSG00000244682,ENSG00000203747,ENSG00000170458,ENSG00000162747
Homo_sapiens	adipose tissue(UBERON_0001013)	Mature endothelial cell(CL_0000115)	PECAM1,CD34	ENSG00000261371,ENSG00000174059
Homo_sapiens	adipose tissue(UBERON_0001013)	Megakaryocyte progenitor cell(CL_0000553)	TFRC	ENSG00000072274
Homo_sapiens	adipose tissue(UBERON_0001013)	Mesenchymal progenitor cell(CL_0000134)	MCAM	ENSG00000076706
